Epochs,Batch_Size,Stride,MAE,Best_Config
10,8,7,30.485207557678223,No
10,8,14,28.500991821289062,No
10,8,21,30.198810577392578,No
10,16,7,28.594919204711914,No
10,16,14,29.284547805786133,No
10,16,21,28.46835994720459,No
10,32,7,30.836705207824707,No
10,32,14,27.481937408447266,No
10,32,21,29.552608489990234,No
50,8,7,26.358627319335938,No
50,8,14,27.050604820251465,No
50,8,21,27.001869201660156,No
50,16,7,28.997861862182617,No
50,16,14,27.651371002197266,No
50,16,21,26.484614372253418,No
50,32,7,27.167953491210938,No
50,32,14,27.332693099975586,No
50,32,21,28.301724433898926,No
100,8,7,28.399354934692383,No
100,8,14,28.09519863128662,No
100,8,21,27.620692253112793,No
100,16,7,28.333369255065918,No
100,16,14,25.403748512268066,Yes
100,16,21,26.41549301147461,No
100,32,7,30.319905281066895,No
100,32,14,27.587597846984863,No
100,32,21,26.419832229614258,No
